PID,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Neighborhood,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
527165230,RL,0.0,7980,No Access,IR1,Lvl,Inside,Gilbert,1Story,6,7,1992,2007,Gable,None,0.0,TA,PConc,233.0,1168.0,Ex,Y,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,0,No Fireplace,Attchd,Fin,2.0,420.0,Y,483,21,0,0,0,0,500,3,2010,WD ,185000
527250040,RL,100.0,34650,No Access,Reg,Bnk,Inside,Gilbert,1Story,5,5,1955,1955,Hip,None,0.0,TA,CBlock,0.0,1056.0,TA,N,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,0,No Fireplace,Attchd,Fin,2.0,572.0,Y,264,0,0,0,0,0,0,1,2006,WD ,145000
535104120,RL,92.0,10573,No Access,IR1,Lvl,Corner,NAmes,1Story,6,6,1961,1961,Hip,BrkFace,3.0,TA,CBlock,141.0,1453.0,Ex,Y,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,1,TA,Attchd,RFn,2.0,530.0,Y,0,49,0,0,288,0,0,4,2009,WD ,187500
532376160,RL,65.0,8450,No Access,Reg,Lvl,Inside,Sawyer,1Story,5,8,1965,2009,Gable,None,0.0,TA,CBlock,224.0,894.0,Ex,Y,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,1,Gd,Detchd,Unf,1.0,336.0,Y,416,144,0,0,0,0,0,4,2010,WD ,138500
909277040,RL,0.0,11700,Grvl,IR1,HLS,Inside,Crawfor,1.5Fin,5,6,1937,1995,Gable,None,0.0,TA,CBlock,336.0,942.0,Ex,Y,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,1,Gd,Detchd,Unf,1.0,240.0,Y,0,40,0,0,0,0,0,7,2008,WD ,198000
911103060,C (all),75.0,8250,No Access,Reg,Lvl,Inside,IDOTRR,2Story,5,6,1895,2006,Gable,None,0.0,TA,CBlock,957.0,957.0,Fa,N,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,0,No Fireplace,No Garage,No Garage,0.0,0.0,N,0,0,133,0,0,0,0,6,2007,WD ,119600
535450190,RL,60.0,8064,No Access,Reg,Lvl,Corner,NAmes,1.5Fin,5,7,1949,2006,Gable,None,0.0,TA,CBlock,672.0,672.0,Ex,Y,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,1,Po,Detchd,Unf,2.0,576.0,Y,0,0,0,0,0,0,2000,7,2007,WD ,122900
527355150,RL,80.0,9600,No Access,Reg,Lvl,Inside,NWAmes,1Story,8,5,1981,1981,Hip,None,0.0,Gd,PConc,1420.0,2524.0,TA,Y,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,1,Gd,Attchd,Fin,2.0,542.0,Y,474,120,0,0,0,0,0,7,2009,WD ,278000
909276010,RL,0.0,11435,No Access,IR1,HLS,Corner,Crawfor,2Story,8,7,1929,1950,Gable,None,0.0,TA,PConc,792.0,792.0,Fa,Y,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,2,Gd,Detchd,Unf,2.0,400.0,Y,0,0,0,0,0,0,0,6,2006,WD ,230000
533250130,RL,30.0,9549,No Access,IR1,Lvl,CulDSac,Veenker,1Story,8,5,1995,1996,Hip,None,0.0,Gd,PConc,0.0,1494.0,Ex,Y,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,1,Gd,Attchd,Fin,2.0,481.0,Y,0,30,0,0,216,0,0,4,2006,WD ,270000
535302070,RL,60.0,10950,No Access,Reg,Lvl,Inside,NAmes,1Story,6,6,1952,1952,Hip,None,0.0,TA,CBlock,507.0,948.0,TA,Y,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,0,No Fireplace,Detchd,Unf,2.0,410.0,N,0,48,0,0,0,0,0,4,2007,WD ,125000
906340110,RL,79.0,10637,No Access,Reg,Lvl,Inside,CollgCr,1Story,8,5,2007,2008,Hip,Stone,336.0,Gd,PConc,417.0,1705.0,Ex,Y,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3.0,826.0,Y,208,44,0,0,0,0,0,9,2009,WD ,297000
535426150,RL,80.0,9000,No Access,IR1,HLS,Inside,NAmes,1Story,6,6,1958,1958,Flat,BrkFace,82.0,TA,CBlock,160.0,160.0,Fa,Y,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,1,Gd,Basment,RFn,1.0,384.0,Y,0,28,64,0,0,0,0,4,2009,WD ,113500
923225240,RM,41.0,2665,No Access,Reg,Lvl,Inside,MeadowV,2Story,5,6,1977,1977,Gable,None,0.0,TA,PConc,36.0,757.0,Ex,Y,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,1,TA,Attchd,RFn,1.0,336.0,Y,104,26,0,0,0,0,0,7,2006,WD ,127000
527358140,RL,105.0,11751,No Access,IR1,Lvl,Inside,NWAmes,1Story,6,6,1977,1977,Hip,BrkFace,480.0,TA,CBlock,1139.0,1844.0,Ex,Y,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,1,TA,Attchd,RFn,2.0,546.0,Y,0,122,0,0,0,0,0,1,2010,COD,190000
534177210,RL,80.0,9600,No Access,Reg,Lvl,Inside,NWAmes,1Story,7,6,1973,1973,Hip,BrkFace,320.0,TA,CBlock,326.0,1242.0,Fa,Y,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,1,TA,Attchd,Unf,2.0,528.0,Y,0,0,0,0,0,0,0,9,2007,WD ,175500
907135050,RL,60.0,8428,No Access,IR2,Lvl,Inside,CollgCr,1Story,5,7,1994,1994,Gable,None,0.0,TA,PConc,570.0,990.0,Ex,Y,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,0,No Fireplace,Detchd,Unf,1.0,384.0,Y,256,0,0,0,0,0,0,7,2007,WD ,146000
908102260,RL,75.0,9937,No Access,Reg,Lvl,Inside,Edwards,1Story,5,6,1965,1965,Gable,None,0.0,Gd,CBlock,136.0,1256.0,Gd,Y,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,0,No Fireplace,Attchd,Fin,1.0,276.0,Y,736,68,0,0,0,0,0,6,2008,WD ,147500
528110050,RL,107.0,13891,No Access,Reg,Lvl,Inside,NridgHt,1Story,10,5,2006,2006,Gable,No Vnr,0.0,Ex,PConc,690.0,2076.0,Ex,Y,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,7,1,Gd,Attchd,Fin,3.0,850.0,Y,216,229,0,0,0,0,0,9,2006,New,465000
923275040,RL,0.0,9101,No Access,IR1,Lvl,Corner,Mitchel,SFoyer,5,6,1978,1978,Gable,BrkFace,104.0,TA,PConc,0.0,1097.0,Ex,Y,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,1,TA,Attchd,Fin,2.0,602.0,Y,303,30,0,0,0,0,0,7,2009,WD ,165500
902406090,RM,81.0,12150,Grvl,Reg,Lvl,Inside,OldTown,1.5Fin,5,5,1954,1954,Gable,BrkFace,335.0,TA,BrkTil,1050.0,1050.0,Ex,N,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,7,0,No Fireplace,Attchd,Unf,1.0,352.0,Y,0,0,0,0,0,0,0,11,2008,WD ,131500
905102170,RL,70.0,11200,No Access,Reg,Lvl,Inside,Sawyer,1Story,5,5,1965,1965,Hip,None,0.0,TA,CBlock,134.0,1040.0,Ex,Y,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,0,No Fireplace,Detchd,Unf,1.0,384.0,Y,0,0,0,0,0,0,0,2,2008,WD ,129500
909281110,RL,100.0,9670,No Access,IR1,HLS,Inside,Crawfor,2Story,8,6,1935,1950,Gable,Stone,40.0,TA,PConc,398.0,608.0,TA,Y,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,2,Gd,Detchd,Fin,2.0,786.0,Y,0,0,207,0,0,0,0,6,2008,WD ,257076
909101140,RL,60.0,10998,Grvl,Reg,Lvl,Inside,Edwards,1.5Fin,5,5,1941,1960,Gable,None,0.0,TA,CBlock,156.0,984.0,Ex,Y,984,620,0,1604,0.0,0.0,2,0,3,1,TA,6,0,No Fireplace,Detchd,Unf,2.0,660.0,Y,0,68,0,0,0,0,0,7,2009,WD ,117000
909275050,RL,60.0,7200,No Access,Reg,HLS,Inside,Crawfor,2Story,7,6,1931,2000,Gable,None,0.0,TA,BrkTil,776.0,776.0,TA,Y,851,651,0,1502,0.0,0.0,1,1,3,1,TA,6,1,Gd,Attchd,RFn,1.0,270.0,P,0,0,112,0,0,0,0,2,2008,WD ,149000
534475100,RL,80.0,9920,No Access,Reg,Lvl,Inside,NAmes,1Story,5,5,1954,1954,Gable,Stone,110.0,TA,CBlock,412.0,1056.0,TA,Y,1063,0,0,1063,1.0,0.0,1,0,3,1,TA,6,0,No Fireplace,Attchd,RFn,1.0,280.0,Y,0,0,164,0,0,0,0,2,2010,WD ,128000
528188090,RL,36.0,2448,No Access,Reg,Lvl,Inside,NridgHt,2Story,7,5,2003,2004,Gable,Stone,106.0,Gd,PConc,764.0,764.0,Ex,Y,764,862,0,1626,0.0,0.0,2,1,2,1,Gd,6,0,No Fireplace,BuiltIn,RFn,2.0,474.0,Y,0,27,0,0,0,0,0,10,2008,WD ,155000
533221080,FV,0.0,2998,No Access,Reg,Lvl,Inside,Somerst,2Story,6,5,2000,2000,Gable,BrkFace,513.0,Gd,PConc,403.0,756.0,Ex,Y,768,756,0,1524,0.0,0.0,2,1,2,1,Gd,4,0,No Fireplace,Detchd,Unf,2.0,440.0,Y,0,32,0,0,0,0,0,6,2006,WD ,166000
909250220,RL,65.0,7804,No Access,Reg,Lvl,Inside,SWISU,1.5Fin,4,3,1928,1950,Gable,None,0.0,TA,BrkTil,500.0,1122.0,TA,Y,1328,653,0,1981,1.0,0.0,2,0,4,1,Gd,7,2,TA,Detchd,Unf,2.0,576.0,Y,431,44,0,0,0,0,0,12,2009,WD ,135000
527356020,RL,80.0,16692,No Access,IR1,Lvl,Inside,NWAmes,2Story,7,5,1978,1978,Gable,BrkFace,184.0,TA,CBlock,133.0,1392.0,TA,Y,1392,1392,0,2784,1.0,0.0,3,1,5,1,Gd,12,2,TA,Attchd,RFn,2.0,564.0,Y,0,112,0,0,440,519,2000,7,2006,WD ,250000
923226250,RM,21.0,1476,No Access,Reg,Lvl,Inside,MeadowV,2Story,4,7,1970,1970,Gable,None,0.0,TA,CBlock,370.0,546.0,Ex,Y,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,0,No Fireplace,No Garage,No Garage,0.0,0.0,Y,200,26,0,0,0,0,0,3,2010,WD ,76000
535305120,RL,75.0,10170,No Access,Reg,Lvl,Corner,NAmes,1Story,6,6,1951,1951,Hip,BrkFace,522.0,TA,CBlock,216.0,216.0,TA,Y,1575,0,0,1575,0.0,0.0,1,1,2,1,Gd,5,1,Gd,Attchd,Unf,2.0,400.0,Y,0,0,0,0,0,0,0,6,2006,WD ,155000
905106140,RL,80.0,9364,No Access,Reg,Lvl,Corner,Sawyer,2Story,6,7,1969,1969,Gable,Stone,143.0,TA,CBlock,292.0,663.0,TA,Y,663,689,0,1352,0.0,0.0,1,1,4,1,TA,7,0,No Fireplace,Attchd,Fin,1.0,299.0,Y,379,36,0,0,0,0,0,3,2010,WD ,158000
533212020,FV,24.0,2544,Pave,Reg,Lvl,Inside,Somerst,2Story,7,5,2004,2005,Gable,None,0.0,Gd,PConc,190.0,600.0,Ex,Y,600,600,0,1200,1.0,0.0,2,1,2,1,Gd,4,0,No Fireplace,Detchd,RFn,2.0,480.0,Y,0,172,0,0,0,0,0,2,2010,WD ,149500
534479300,RL,82.0,9888,No Access,Reg,Lvl,Inside,NAmes,1Story,5,6,1954,1975,Gable,None,0.0,TA,CBlock,450.0,936.0,TA,Y,936,0,0,936,0.0,0.0,1,0,2,1,TA,5,0,No Fireplace,Attchd,Unf,1.0,240.0,Y,0,0,160,0,0,0,0,3,2006,WD ,121000
535304170,RL,68.0,7942,No Access,Reg,Lvl,Inside,NAmes,1Story,6,7,1953,1953,Hip,None,0.0,TA,CBlock,0.0,1040.0,TA,Y,1040,0,0,1040,0.0,1.0,1,0,3,1,TA,6,0,No Fireplace,Attchd,Fin,1.0,293.0,Y,0,0,0,0,0,0,0,6,2007,WD ,136000
527107010,RL,0.0,15038,No Access,IR2,Lvl,Corner,Gilbert,2Story,6,5,1996,1996,Gable,None,0.0,TA,PConc,778.0,916.0,Gd,Y,916,720,0,1636,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,Fin,2.0,386.0,Y,168,84,0,0,0,0,0,11,2008,WD ,173000
528382020,RL,92.0,11764,No Access,IR1,Lvl,CulDSac,NoRidge,2Story,8,7,1999,2007,Gable,BrkFace,348.0,Gd,PConc,628.0,1152.0,Ex,Y,1164,1106,0,2270,0.0,0.0,2,1,4,1,Gd,9,1,Gd,Attchd,Fin,3.0,671.0,Y,132,57,0,0,0,0,0,4,2010,WD ,290000
528458130,FV,75.0,9000,No Access,Reg,Lvl,Inside,Somerst,2Story,8,5,2007,2007,Gable,None,0.0,Gd,PConc,1120.0,1184.0,Ex,Y,1184,1426,0,2610,0.0,0.0,2,1,4,1,Ex,11,1,Gd,BuiltIn,Fin,2.0,550.0,Y,208,364,0,0,0,0,0,8,2007,New,303477
905109170,RL,0.0,20062,No Access,IR1,Low,Inside,ClearCr,1Story,7,7,1977,2001,Hip,None,0.0,Gd,CBlock,328.0,1420.0,Gd,Y,1483,0,0,1483,1.0,0.0,1,1,1,1,TA,4,2,TA,Attchd,RFn,2.0,690.0,Y,496,0,0,0,0,0,0,4,2010,WD ,270000
902109160,RM,81.0,7308,No Access,Reg,Lvl,Corner,OldTown,1.5Fin,5,5,1920,1950,Gable,None,0.0,Fa,BrkTil,576.0,936.0,Gd,N,960,780,0,1740,0.0,0.0,1,0,2,1,Ex,6,1,Gd,Detchd,Unf,1.0,225.0,N,0,0,236,0,0,0,0,6,2008,WD ,122250
535178120,RL,70.0,8750,No Access,Reg,Lvl,Inside,NAmes,1Story,5,5,1955,1955,Gable,None,0.0,TA,CBlock,727.0,1382.0,Gd,Y,1382,0,0,1382,0.0,1.0,1,0,3,1,Gd,6,0,No Fireplace,Attchd,Unf,1.0,350.0,Y,280,0,0,0,0,0,0,7,2009,WD ,153000
923202134,RL,70.0,8402,No Access,Reg,Lvl,Inside,Mitchel,1Story,5,5,2007,2007,Gable,None,0.0,TA,PConc,914.0,1120.0,Ex,Y,1120,0,0,1120,0.0,0.0,1,0,3,1,TA,6,0,No Fireplace,No Garage,No Garage,0.0,0.0,Y,0,30,0,0,0,0,0,12,2007,New,147000
909252150,RL,63.0,4000,No Access,Reg,Lvl,Inside,Crawfor,2Story,7,8,1930,1995,Gable,None,0.0,TA,BrkTil,285.0,531.0,TA,Y,567,531,0,1098,1.0,0.0,1,0,2,1,TA,5,1,Gd,Detchd,Unf,1.0,216.0,Y,0,0,0,0,0,0,0,6,2007,WD ,148500
908188150,RM,32.0,3363,No Access,Reg,Lvl,Inside,Edwards,2Story,7,5,2004,2004,Gable,Stone,117.0,Gd,PConc,976.0,976.0,Ex,Y,976,732,0,1708,0.0,0.0,2,0,3,1,Gd,7,0,No Fireplace,Detchd,Unf,2.0,380.0,Y,0,40,0,0,0,0,0,4,2006,WD ,130000
528150040,RL,94.0,13615,No Access,IR1,HLS,Corner,NridgHt,1Story,9,5,2006,2006,Hip,Stone,510.0,Ex,PConc,1802.0,1802.0,Ex,Y,1802,0,0,1802,0.0,0.0,2,1,3,1,Ex,7,1,Gd,Attchd,Fin,3.0,843.0,Y,158,105,0,0,0,0,0,6,2007,WD ,372000
528228565,RL,43.0,3013,No Access,Reg,Lvl,Inside,Blmngtn,1Story,7,5,2005,2005,Gable,BrkFace,145.0,Gd,PConc,1346.0,1362.0,Ex,Y,1506,0,0,1506,0.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,Fin,2.0,440.0,Y,142,20,0,0,0,0,0,4,2006,WD ,213490
905453080,RL,44.0,17485,No Access,IR2,Lvl,Inside,Edwards,1Story,7,5,2009,2010,Gable,Stone,96.0,Gd,PConc,162.0,1508.0,Ex,Y,1508,0,0,1508,1.0,0.0,1,0,1,1,Gd,5,2,TA,Attchd,RFn,2.0,572.0,Y,0,0,0,0,0,0,0,1,2010,Con,308030
914453045,RL,0.0,23730,No Access,IR2,Lvl,Inside,Mitchel,1Story,7,5,1996,1997,Gable,BrkFace,668.0,Gd,PConc,1140.0,1840.0,Ex,Y,2032,0,0,2032,1.0,0.0,3,0,3,1,Gd,7,0,No Fireplace,Attchd,Fin,3.0,786.0,Y,0,46,192,0,0,0,0,9,2008,WD ,300000
535403150,RL,79.0,8910,No Access,Reg,Lvl,Corner,NAmes,1Story,6,6,1959,1959,Hip,None,0.0,TA,CBlock,0.0,655.0,Ex,Y,1194,0,0,1194,0.0,1.0,1,0,3,1,TA,6,1,Fa,BuiltIn,Fin,2.0,539.0,Y,0,0,192,0,0,0,0,7,2006,WD ,159500
908188140,RM,24.0,2522,No Access,Reg,Lvl,Inside,Edwards,2Story,7,5,2004,2004,Gable,Stone,50.0,Gd,PConc,970.0,970.0,Ex,Y,970,739,0,1709,0.0,0.0,2,0,3,1,Gd,7,0,No Fireplace,Detchd,Unf,2.0,380.0,Y,0,40,0,0,0,0,0,4,2006,WD ,137500
528439030,RL,73.0,8688,No Access,Reg,Lvl,Inside,Somerst,1Story,7,5,2005,2005,Gable,BrkFace,228.0,Gd,PConc,1616.0,1616.0,Ex,Y,1616,0,0,1616,0.0,0.0,2,0,3,1,Gd,7,0,No Fireplace,Attchd,RFn,3.0,834.0,Y,208,59,0,0,0,0,0,4,2006,WD ,232000
903452025,RM,0.0,6291,No Access,IR1,Lvl,Inside,IDOTRR,1Story,6,6,1930,1950,Gable,None,0.0,Gd,BrkTil,768.0,768.0,TA,Y,768,0,0,768,0.0,0.0,1,0,1,1,TA,4,0,No Fireplace,Detchd,Unf,2.0,440.0,N,0,0,84,0,0,0,0,7,2008,WD ,93850
905200380,RL,0.0,17529,No Access,Reg,Lvl,Inside,Sawyer,1Story,5,5,1924,1950,Gable,Stone,65.0,TA,BrkTil,872.0,872.0,Fa,N,872,0,0,872,0.0,0.0,1,0,2,1,Fa,5,1,Gd,Detchd,Unf,1.0,322.0,N,0,0,116,0,0,0,0,4,2006,WD ,105000
