Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,After 1999,PID 9,Bath Log,Floating Village,Regular Lot Shape,Hillside,CulDSac,NH1,NH2,NH3,NH4,1 Story,Hip Roof,Stone Vnr,Has Vnr,Exter Qual Num,PConc Foundation,Has Central Air,Excellent Heating,Kitchen Qual Num,Fireplace Qu Num,Attached or BuiltIn Garage,Finished Garage,Fully Paved Drive,New Sale,Has Alley Access,Total SF,1.5P Gr Liv Area,1.5P Total SF,P3 Overall Qual,SalePrice
21.0,1680,6,5,1971,1971,232.0,483.0,483,504,0,987,2,1,4,0,264.0,0,0,0,0,0,0,0,7,2008,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1470.0,31008.140914927488,56360.65116728159,216,85400
64.0,7488,7,5,2005,2005,0.0,1208.0,1208,0,0,1208,2,1,6,0,632.0,105,58,0,0,0,0,0,2,2006,1,1,0.6931471805599453,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,1,1,0,1,1,1,0,0,2416.0,41985.603627910365,118753.22015002373,343,183600
120.0,26400,5,7,1880,2007,0.0,0.0,1288,728,0,2016,4,1,7,1,576.0,0,0,0,0,0,0,0,6,2009,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,2016.0,90518.17550083519,90518.17550083519,125,131000
24.0,2645,8,5,1999,2000,456.0,960.0,962,645,0,1607,3,1,7,0,480.0,169,0,0,0,0,0,0,12,2008,0,0,1.0986122886681098,1,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,1,2567.0,64420.45904058741,130058.51860989345,512,200000
74.0,9627,7,5,2007,2007,0.0,1351.0,1361,0,0,1361,3,1,6,0,610.0,0,50,0,0,0,0,0,6,2008,1,1,0.6931471805599453,0,1,0,0,0,1,0,0,1,0,0,0,2,1,1,1,1,0,1,1,1,0,0,2712.0,50209.649281786464,141232.46131113058,343,193000
93.0,10114,5,5,2004,2005,0.0,1430.0,1430,0,0,1430,3,1,7,0,624.0,0,0,0,0,0,0,0,3,2010,1,1,0.6931471805599453,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,2860.0,54075.93734740064,152949.84798946354,125,173500
34.0,4571,5,5,1916,1950,0.0,624.0,624,720,0,1344,4,1,7,0,513.0,0,0,96,0,0,0,0,5,2008,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1968.0,49271.85387216519,87304.70337845493,125,98000
80.0,8816,5,6,1963,1963,0.0,1121.0,1121,0,0,1121,3,1,5,0,480.0,0,80,0,0,0,0,0,6,2009,0,1,0.4054651081081644,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2242.0,37532.57999391995,106158.16731650938,125,139000
71.0,8197,6,5,1977,1977,148.0,660.0,1285,0,0,1285,3,1,7,1,528.0,138,0,0,0,0,0,0,4,2007,0,1,0.4054651081081644,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1945.0,46063.26220536275,85778.68980696778,216,143500
72.0,8640,7,5,2009,2009,0.0,756.0,764,783,0,1547,3,1,7,0,614.0,169,45,0,0,0,0,0,6,2010,1,0,0.9162907318741551,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,2303.0,60846.48159918534,110520.00781306523,343,215200
109.0,8724,5,5,1968,1968,0.0,894.0,894,0,0,894,3,1,5,1,450.0,0,0,0,0,0,0,0,5,2007,0,1,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1788.0,26730.45050125418,75605.13125443272,125,129000
40.0,5664,8,5,2000,2000,0.0,1501.0,1659,0,0,1659,2,1,5,1,499.0,212,59,0,0,0,0,0,10,2009,1,0,0.9162907318741551,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,2,2,1,1,1,0,0,3160.0,67572.43653295329,177635.8522370977,512,278000
103.0,12867,8,5,2005,2006,0.0,1209.0,1209,1044,0,2253,3,1,8,1,575.0,243,142,0,0,0,0,0,7,2006,1,0,0.9162907318741551,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,2,1,1,1,1,1,0,3462.0,106940.39590818803,203699.79658310904,512,344133
0.0,7980,6,7,1992,2007,0.0,1168.0,1187,0,0,1187,3,1,6,0,420.0,483,21,0,0,0,0,500,3,2010,0,0,0.9162907318741551,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,2355.0,40895.552362084556,114284.24596154975,216,185000
100.0,34650,5,5,1955,1955,0.0,1056.0,1056,0,0,1056,3,1,5,0,572.0,264,0,0,0,0,0,0,1,2006,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2112.0,34315.938221182296,97060.13047590654,125,145000
92.0,10573,6,6,1961,1961,3.0,1453.0,1453,0,0,1453,3,1,6,1,530.0,0,49,0,0,288,0,0,4,2009,0,0,0.9162907318741551,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,2906.0,55385.798513698435,156654.69484187188,216,187500
65.0,8450,5,8,1965,2009,0.0,894.0,894,0,0,894,3,1,5,1,336.0,416,144,0,0,0,0,0,4,2010,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1788.0,26730.45050125418,75605.13125443272,125,138500
0.0,11700,5,6,1937,1995,0.0,942.0,1265,673,0,1938,4,1,7,1,240.0,0,40,0,0,0,0,0,7,2008,0,1,0.6931471805599453,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2880.0,85316.03408504171,154557.01860478547,125,198000
75.0,8250,5,6,1895,2006,0.0,957.0,1034,957,0,1991,4,2,9,0,0.0,0,0,133,0,0,0,0,6,2007,0,1,0.6931471805599453,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2948.0,88839.6604619806,160063.0981581951,125,119600
60.0,8064,5,7,1949,2006,0.0,672.0,672,252,0,924,3,1,6,1,576.0,0,0,0,0,0,0,2000,7,2007,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1596.0,28087.168315798586,63760.15006255867,125,122900
80.0,9600,8,5,1981,1981,0.0,2524.0,2524,0,0,2524,4,1,9,1,542.0,474,120,0,0,0,0,0,7,2009,0,0,1.0986122886681098,0,1,0,0,0,1,0,0,1,1,0,0,2,1,1,0,1,1,1,1,1,0,0,5048.0,126804.31311276443,358656.7587429519,512,278000
0.0,11435,8,7,1929,1950,0.0,792.0,792,725,0,1517,3,1,7,2,400.0,0,0,0,0,0,0,0,6,2006,0,1,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,2309.0,59085.15391365245,110952.19524191489,512,230000
30.0,9549,8,5,1995,1996,0.0,1494.0,1494,0,0,1494,2,1,6,1,481.0,0,30,0,0,216,0,0,4,2006,0,0,0.6931471805599453,0,0,0,1,0,0,1,0,1,1,0,0,2,1,1,1,2,1,1,1,1,0,0,2988.0,57746.530493182014,163331.853206899,512,270000
60.0,10950,6,6,1952,1952,0.0,948.0,948,0,0,948,2,1,5,0,410.0,0,48,0,0,0,0,0,4,2007,0,0,0.0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1896.0,29188.54898757388,82557.6836884369,216,125000
79.0,10637,8,5,2007,2008,336.0,1705.0,1718,0,0,1718,3,1,7,1,826.0,208,44,0,0,0,0,0,9,2009,1,1,0.9162907318741551,0,1,0,0,0,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,3423.0,71208.97578255145,200267.44110563752,512,297000
80.0,9000,6,6,1958,1958,82.0,160.0,1142,0,0,1142,2,1,5,1,384.0,0,28,64,0,0,0,0,4,2009,0,0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1302.0,38592.16614806689,46980.374711149336,216,113500
41.0,2665,5,6,1977,1977,0.0,757.0,925,550,0,1475,4,1,6,1,336.0,104,26,0,0,0,0,0,7,2006,0,1,0.6931471805599453,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,2232.0,56648.44989053099,105448.71344876617,125,127000
105.0,11751,6,6,1977,1977,480.0,1844.0,1844,0,0,1844,3,1,7,1,546.0,0,122,0,0,0,0,0,1,2010,0,0,0.6931471805599453,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,3688.0,79184.71812161738,223968.2046005638,216,190000
80.0,9600,7,6,1973,1973,320.0,1242.0,1242,0,0,1242,3,1,6,1,528.0,0,0,0,0,0,0,0,9,2007,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,2484.0,43770.58930377794,123801.92205293098,343,175500
60.0,8428,5,7,1994,1994,0.0,990.0,990,0,0,990,3,1,5,0,384.0,256,0,0,0,0,0,0,7,2007,0,1,0.4054651081081644,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1980.0,31149.622790653502,88104.43802669647,125,146000
75.0,9937,5,6,1965,1965,0.0,1256.0,1256,0,0,1256,3,1,6,0,276.0,736,68,0,0,0,0,0,6,2008,0,1,0.6931471805599453,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,1,0,0,2512.0,44512.75340843341,125901.07913755148,125,147500
107.0,13891,10,5,2006,2006,0.0,2076.0,2076,0,0,2076,2,1,7,1,850.0,216,229,0,0,0,0,0,9,2006,1,0,1.0986122886681098,0,1,0,0,0,0,0,1,1,0,0,1,2,1,1,1,2,1,1,1,1,1,0,4152.0,94589.08486712407,267538.3333430931,1000,465000
0.0,9101,5,6,1978,1978,104.0,1097.0,1110,0,0,1110,1,1,4,1,602.0,303,30,0,0,0,0,0,7,2009,0,1,0.4054651081081644,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,2207.0,36981.495372686055,103682.03191971114,125,165500
81.0,12150,5,5,1954,1954,335.0,1050.0,1050,745,0,1795,4,1,7,0,352.0,0,0,0,0,0,0,0,11,2008,0,1,0.6931471805599453,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2845.0,76049.55538989035,151748.1503182164,125,131500
70.0,11200,5,5,1965,1965,0.0,1040.0,1040,0,0,1040,3,1,5,0,384.0,0,0,0,0,0,0,0,2,2008,0,1,0.4054651081081644,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2080.0,33538.99223292197,94862.59536824828,125,129500
100.0,9670,8,6,1935,1950,40.0,608.0,983,890,0,1873,4,1,9,2,786.0,0,0,207,0,0,0,0,6,2008,0,1,0.4054651081081644,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,2481.0,81060.01244140048,123577.71093931138,512,257076
60.0,10998,5,5,1941,1960,0.0,984.0,984,620,0,1604,3,1,6,0,660.0,0,68,0,0,0,0,0,7,2009,0,1,0.6931471805599453,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,2588.0,64240.14993755852,131657.74368414492,125,117000
60.0,7200,7,6,1931,2000,0.0,776.0,851,651,0,1502,3,1,6,1,270.0,0,0,112,0,0,0,0,2,2008,0,1,0.4054651081081644,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2278.0,58210.97841472861,108725.29122517907,343,149000
80.0,9920,5,5,1954,1954,110.0,1056.0,1063,0,0,1063,3,1,6,0,280.0,0,0,164,0,0,0,0,2,2010,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,2119.0,34657.71266255175,97543.07335223758,125,128000
36.0,2448,7,5,2003,2004,106.0,764.0,764,862,0,1626,2,1,6,0,474.0,0,27,0,0,0,0,0,10,2008,1,0,0.9162907318741551,0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1,0,1,1,1,0,0,2390.0,65566.32043968915,116841.42672870783,343,155000
0.0,2998,6,5,2000,2000,513.0,756.0,768,756,0,1524,2,1,4,0,440.0,0,32,0,0,0,0,0,6,2006,1,0,0.9162907318741551,1,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,0,2280.0,59494.58651003468,108868.50784317749,216,166000
65.0,7804,4,3,1928,1950,0.0,1122.0,1328,653,0,1981,4,1,7,2,576.0,431,44,0,0,0,0,0,12,2009,0,1,0.9162907318741551,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,3103.0,88171.19223986937,172851.3052510741,64,135000
80.0,16692,7,5,1978,1978,184.0,1392.0,1392,1392,0,2784,5,1,12,2,564.0,0,112,0,0,440,519,2000,7,2006,0,0,1.3862943611198906,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,4176.0,146893.9287513272,269861.3788151243,343,250000
21.0,1476,4,7,1970,1970,0.0,546.0,546,546,0,1092,3,1,5,0,0.0,200,26,0,0,0,0,0,3,2010,0,1,0.4054651081081644,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1638.0,36085.60222581854,66293.48438572226,64,76000
75.0,10170,6,6,1951,1951,522.0,216.0,1575,0,0,1575,2,1,5,1,400.0,0,0,0,0,0,0,0,6,2006,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1791.0,62505.87472390095,75795.49241874479,216,155000
80.0,9364,6,7,1969,1969,143.0,663.0,663,689,0,1352,4,1,7,0,299.0,379,36,0,0,0,0,0,3,2010,0,1,0.4054651081081644,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,2015.0,49712.435144539035,90450.83402047766,216,158000
24.0,2544,7,5,2004,2005,0.0,600.0,600,600,0,1200,2,1,4,0,480.0,0,172,0,0,0,0,0,2,2010,1,0,1.0986122886681098,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,1,0,1,1800.0,41569.219381653056,76367.53236814713,343,149500
82.0,9888,5,6,1954,1975,0.0,936.0,936,0,0,936,2,1,5,0,240.0,0,0,160,0,0,0,0,3,2006,0,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1872.0,28636.09358833708,80995.10385202305,125,121000
68.0,7942,6,7,1953,1953,0.0,1040.0,1040,0,0,1040,3,1,6,0,293.0,0,0,0,0,0,0,0,6,2007,0,0,0.22314355131420976,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,2080.0,33538.99223292197,94862.59536824828,216,136000
0.0,15038,6,5,1996,1996,0.0,916.0,916,720,0,1636,3,1,7,1,386.0,168,84,0,0,0,0,0,11,2008,0,0,0.9162907318741551,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,2552.0,66172.10481766467,128920.21023873643,216,173000
92.0,11764,8,7,1999,2007,348.0,1152.0,1164,1106,0,2270,4,1,9,1,671.0,132,57,0,0,0,0,0,4,2010,0,0,0.9162907318741551,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1,1,1,1,1,1,1,0,0,3422.0,108153.0535861101,200179.6879006459,512,290000
75.0,9000,8,5,2007,2007,0.0,1184.0,1184,1426,0,2610,4,1,11,1,550.0,208,364,0,0,0,0,0,8,2007,1,0,0.9162907318741551,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,2,1,1,1,1,1,0,3794.0,133340.09524520373,233693.15390913788,512,303477
0.0,20062,7,7,1977,2001,0.0,1420.0,1483,0,0,1483,1,1,4,2,690.0,496,0,0,0,0,0,0,4,2010,0,1,0.6931471805599453,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,1,1,1,0,0,2903.0,57109.94297843415,156412.17448459694,343,270000
81.0,7308,5,5,1920,1950,0.0,936.0,960,780,0,1740,2,1,6,1,225.0,0,0,236,0,0,0,0,6,2008,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2676.0,72581.15457885746,138429.66364186542,125,122250
70.0,8750,5,5,1955,1955,0.0,1382.0,1382,0,0,1382,3,1,6,0,350.0,280,0,0,0,0,0,0,7,2009,0,0,0.22314355131420976,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,2764.0,51376.21013659921,145313.86631701738,125,153000
70.0,8402,5,5,2007,2007,0.0,1120.0,1120,0,0,1120,3,1,6,0,0.0,0,30,0,0,0,0,0,12,2007,1,1,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,2240.0,37482.36918872658,106016.14971314512,125,147000
63.0,4000,7,8,1930,1995,0.0,531.0,567,531,0,1098,2,1,5,1,216.0,0,0,0,0,0,0,0,6,2007,0,1,0.4054651081081644,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1629.0,36383.41919061483,65747.86071804923,343,148500
32.0,3363,7,5,2004,2004,117.0,976.0,976,732,0,1708,3,1,7,0,380.0,0,40,0,0,0,0,0,4,2006,1,1,0.6931471805599453,0,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,0,0,2684.0,70588.14994034055,139050.8881812698,343,130000
94.0,13615,9,5,2006,2006,510.0,1802.0,1802,0,0,1802,3,1,7,1,843.0,158,105,0,0,0,0,0,6,2007,1,0,0.9162907318741551,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,3604.0,76494.84693755521,216360.09998148918,729,372000
43.0,3013,7,5,2005,2005,145.0,1362.0,1506,0,0,1506,2,1,6,1,440.0,142,20,0,0,0,0,0,4,2006,1,0,0.6931471805599453,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,1,1,1,1,1,1,0,0,2868.0,58443.667030739954,153592.04416896077,343,213490
44.0,17485,7,5,2009,2010,96.0,1508.0,1508,0,0,1508,1,1,5,2,572.0,0,0,0,0,0,0,0,1,2010,1,1,0.4054651081081644,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,1,1,0,1,1,1,0,0,3016.0,58560.12732226596,165633.0525468875,343,308030
0.0,23730,7,5,1996,1997,668.0,1840.0,2032,0,0,2032,3,1,7,0,786.0,0,46,192,0,0,0,0,9,2008,0,1,1.252762968495368,0,0,0,0,0,1,0,0,1,0,0,1,2,1,1,1,1,0,1,1,1,0,0,3872.0,91597.908098384,240936.73619437945,343,300000
79.0,8910,6,6,1959,1959,0.0,655.0,1194,0,0,1194,3,1,6,1,539.0,0,0,192,0,0,0,0,7,2006,0,0,0.22314355131420976,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1849.0,41257.84027309234,79507.0,216,159500
24.0,2522,7,5,2004,2004,50.0,970.0,970,739,0,1709,3,1,7,0,380.0,0,40,0,0,0,0,0,4,2006,1,1,0.6931471805599453,0,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,0,0,2679.0,70650.15094817562,138662.51418101433,343,137500
73.0,8688,7,5,2005,2005,228.0,1616.0,1616,0,0,1616,3,1,7,0,834.0,208,59,0,0,0,0,0,4,2006,1,0,0.6931471805599453,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,1,1,0,1,1,1,0,0,3232.0,64962.396014925434,183741.4029771189,343,232000
0.0,6291,6,6,1930,1950,0.0,768.0,768,0,0,768,1,1,4,0,440.0,0,0,84,0,0,0,0,7,2008,0,1,0.0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1536.0,21283.440323406365,60198.65991863939,216,93850
0.0,17529,5,5,1924,1950,65.0,872.0,872,0,0,872,2,1,5,1,322.0,0,0,116,0,0,0,0,4,2006,0,1,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1744.0,25749.85141704705,72831.57820616,125,105000
60.0,6324,4,6,1927,1950,0.0,520.0,520,0,0,520,1,1,4,0,240.0,49,0,87,0,0,0,0,5,2008,0,1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1040.0,11857.824421031035,33538.99223292197,64,68500
80.0,11600,5,5,1960,1960,361.0,1105.0,1105,1169,0,2274,5,2,12,0,480.0,0,0,0,0,0,0,0,1,2010,0,0,0.6931471805599453,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3379.0,108439.04658378365,196418.4536620732,125,154300
50.0,7288,5,7,1925,2003,0.0,936.0,936,665,0,1601,3,1,6,0,0.0,0,0,0,176,0,0,0,9,2007,0,1,0.6931471805599453,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2537.0,64060.00937402367,127785.24231303082,125,129850
35.0,4571,5,7,1910,1950,0.0,616.0,616,616,0,1232,3,1,6,0,480.0,280,0,143,0,0,0,0,6,2007,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1848.0,43243.02450106838,79442.50872171648,125,114000
63.0,17423,9,5,2008,2009,748.0,2216.0,2234,0,0,2234,1,1,9,1,1166.0,0,60,0,0,0,0,0,7,2009,1,0,0.9162907318741551,0,0,0,1,0,0,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,4450.0,105590.47733579008,296852.0254268109,729,501837
100.0,12665,5,8,1915,1950,0.0,876.0,876,540,0,1416,4,1,7,1,720.0,418,0,194,0,0,0,0,6,2008,0,1,0.4054651081081644,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,2292.0,53283.76202934624,109729.12597847483,125,153900
60.0,9000,4,7,1971,2006,0.0,864.0,864,0,0,864,3,1,5,0,576.0,200,0,0,0,0,0,0,7,2009,0,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1728.0,25396.30965317599,71831.61109149648,64,130000
32.0,4500,6,5,1997,1997,197.0,1189.0,1189,0,0,1189,2,1,4,0,392.0,0,122,0,0,0,0,0,4,2008,0,1,0.9162907318741551,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,2378.0,40998.954486669536,115962.55495633063,216,160500
48.0,6373,9,5,2006,2006,572.0,1666.0,1666,0,0,1666,2,1,6,1,575.0,228,75,0,0,0,0,0,6,2006,1,0,0.9162907318741551,0,1,0,0,0,0,0,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,3332.0,68000.5609976859,192334.63122381264,729,310090
67.0,10083,7,5,2003,2003,0.0,1176.0,1200,0,0,1200,2,1,5,0,555.0,0,41,0,0,0,0,0,8,2009,1,0,0.9162907318741551,0,1,0,0,0,1,0,0,1,0,0,1,2,1,1,1,1,0,1,1,1,0,0,2376.0,41569.219381653056,115816.29149649024,343,184900
